Name,Country,Age,Matches,Runs,Wickets,Average,StrikeRate
Shai Hope,West Indies,32,190,7200,8,43.1,89.7
Rashid Khan,Afghanistan,28,180,1800,410,15.9,136.2
Mohammad Nabi,Afghanistan,41,250,4800,310,27.8,128.4
Ibrahim Zadran,Afghanistan,25,120,4800,2,44.7,82.6
Mujeeb Ur Rahman,Afghanistan,25,140,550,210,13.4,72.1
Najibullah Zadran,Afghanistan,32,150,4200,3,35.8,132.7
Tom Latham,New Zealand,34,250,11000,5,43.9,86.2
Trent Boult,New Zealand,37,200,1700,390,19.3,76.5
Tim Southee,New Zealand,37,230,2400,410,20.1,78.4
Daryl Mitchell,New Zealand,35,180,6500,95,42.6,104.8
Devon Conway,New Zealand,35,150,6200,2,46.8,91.5
Rachin Ravindra,New Zealand,27,110,4300,75,45.1,102.3
Suryakumar Yadav,India,36,170,6200,8,42.7,168.5
Yashasvi Jaiswal,India,24,100,5100,2,54.3,96.8
Sanju Samson,India,31,140,5200,10,43.6,148.2
Ishan Kishan,India,28,120,4200,4,39.8,137.5
Kuldeep Yadav,India,31,170,850,290,18.4,71.6
Mohammed Shami,India,36,180,1100,370,17.5,74.2
Axar Patel,India,32,190,3600,250,31.8,118.6
Yuzvendra Chahal,India,36,160,500,280,14.2,69.7
Shreyas Iyer,India,31,170,6800,3,45.2,103.4
Ishan Kishan,India,28,120,4200,4,39.8,137.5
Imam-ul-Haq,Pakistan,30,170,7600,1,49.7,82.8
Fakhar Zaman,Pakistan,36,180,6500,3,38.4,132.9
Haris Rauf,Pakistan,32,130,350,210,12.6,74.3
Naseem Shah,Pakistan,23,100,280,170,11.8,69.5
Shadab Khan,Pakistan,28,180,4300,220,29.4,135.6
Saim Ayub,Pakistan,24,90,3500,35,42.1,128.7
Moeen Ali,England,39,220,6800,250,34.7,142.5
Adil Rashid,England,38,190,1200,310,16.4,78.2
Sam Curran,England,28,150,4200,180,32.5,136.8
Dawid Malan,England,39,160,5900,2,43.5,132.4
Reece Topley,England,32,100,250,150,13.8,71.2
Usman Khawaja,Australia,39,230,10500,3,47.8,82.5
Cameron Green,Australia,27,130,4700,90,40.5,101.7
Josh Hazlewood,Australia,35,180,950,350,17.1,69.3
Nathan Lyon,Australia,38,200,1800,520,18.2,62.4
Matt Henry,New Zealand,35,150,1100,280,16.5,74.8
Lockie Ferguson,New Zealand,35,130,420,190,13.2,82.1
Mushfiqur Rahim,Bangladesh,39,330,12000,35,40.2,79.8
Nasum Ahmed,Bangladesh,31,100,180,120,12.4,65.8
Najmul Hossain Shanto,Bangladesh,28,130,5200,2,43.8,82.4
Tanzid Hasan,Bangladesh,25,70,2800,1,41.5,88.6
Rishad Hossain,Bangladesh,24,75,1200,95,22.7,119.5
