Name,Country,Club,Position,Age,Height,Weight
Pepe,Portugal,Retired,Defender,43,188,81
Casemiro,Brazil,Manchester United,Midfielder,34,185,84
Gabriel Magalhaes,Brazil,Arsenal,Defender,28,190,78
Marquinhos,Brazil,Paris Saint-Germain,Defender,32,183,75
Ederson,Brazil,Manchester City,Goalkeeper,33,188,86
Gabriel Martinelli,Brazil,Arsenal,Forward,25,178,75
Rodrygo,Brazil,Real Madrid,Forward,25,174,64
Richarlison,Brazil,Al Rayyan,Forward,29,184,83
Endrick,Brazil,Real Madrid,Forward,20,173,66
Gabriel Jesus,Brazil,Arsenal,Forward,29,175,73
Vinicius Souza,Brazil,Sheffield United,Midfielder,27,187,80
Paulo Dybala,Argentina,Roma,Forward,32,177,75
Angel Di Maria,Argentina,Retired,Midfielder,38,180,70
Lautaro Martinez,Argentina,Inter Milan,Forward,29,174,72
Julian Alvarez,Argentina,Atletico Madrid,Forward,26,170,71
Emiliano Martinez,Argentina,Aston Villa,Goalkeeper,33,195,88
Enzo Fernandez,Argentina,Chelsea,Midfielder,25,180,76
Alexis Mac Allister,Argentina,Liverpool,Midfielder,27,176,70
Lisandro Martinez,Argentina,Manchester United,Defender,28,175,77
Nicolas Otamendi,Argentina,Benfica,Defender,38,183,81
Angel Correa,Argentina,Atletico Madrid,Forward,31,171,70
Ousmane Dembele,France,Paris Saint-Germain,Forward,29,178,67
Olivier Giroud,France,LAFC,Forward,40,193,93
Eduardo Camavinga,France,Real Madrid,Midfielder,23,182,68
Aurelien Tchouameni,France,Real Madrid,Midfielder,26,187,81
Mike Maignan,France,AC Milan,Goalkeeper,31,191,89
Dayot Upamecano,France,Bayern Munich,Defender,27,186,90
Kingsley Coman,France,Bayern Munich,Forward,30,181,76
Marcus Thuram,France,Inter Milan,Forward,29,192,90
Christopher Nkunku,France,AC Milan,Forward,28,175,73
N'Golo Kante,France,Al Ittihad,Midfielder,35,168,70
Eduardo Camavinga,France,Real Madrid,Midfielder,23,182,68
